Category,Phecode,ICD10,Description
ICD10 Certain infectious and parasitic diseases,10,A153,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,A152,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,A164,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,A185,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,B901,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,A160,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,A161,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,A170,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,A163,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,A198,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,M900,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,A187,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,A171,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,A162,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,A199,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,A179,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,A186,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,M490,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,N741,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,A190,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,N330,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,B908,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,B90,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,M011,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,B902,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,A188,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,A192,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,A17,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,A169,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,A165,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,A191,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,A18,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,A159,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,A154,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,A151,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,B909,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,K673,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,A181,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,A19,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,A184,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,A183,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,A157,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,A167,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,A178,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,A156,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,A150,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,A180,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,A182,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,A155,Tuberculosis
ICD10 Certain infectious and parasitic diseases,10,B900,Tuberculosis
ICD10 Certain infectious and parasitic diseases,38,A419,Septicemia
ICD10 Certain infectious and parasitic diseases,38,A414,Septicemia
ICD10 Certain infectious and parasitic diseases,38,A427,Septicemia
ICD10 Certain infectious and parasitic diseases,38,A418,Septicemia
ICD10 Certain infectious and parasitic diseases,38,B007,Septicemia
ICD10 Certain infectious and parasitic diseases,38.1,A40,Gram negative septicemia
ICD10 Certain infectious and parasitic diseases,38.1,A413,Gram negative septicemia
ICD10 Certain infectious and parasitic diseases,38.1,A401,Gram negative septicemia
ICD10 Certain infectious and parasitic diseases,38.1,A394,Gram negative septicemia
ICD10 Certain infectious and parasitic diseases,38.1,A400,Gram negative septicemia
ICD10 Certain infectious and parasitic diseases,38.1,A393,Gram negative septicemia
ICD10 Certain infectious and parasitic diseases,38.1,A409,Gram negative septicemia
ICD10 Certain infectious and parasitic diseases,38.1,A408,Gram negative septicemia
ICD10 Certain infectious and parasitic diseases,38.1,A207,Gram negative septicemia
ICD10 Certain infectious and parasitic diseases,38.1,A415,Gram negative septicemia
ICD10 Certain infectious and parasitic diseases,38.1,A392,Gram negative septicemia
ICD10 Certain infectious and parasitic diseases,38.1,A402,Gram negative septicemia
ICD10 Certain infectious and parasitic diseases,38.1,A021,Gram negative septicemia
ICD10 Certain infectious and parasitic diseases,38.2,A411,Gram positive septicemia
ICD10 Certain infectious and parasitic diseases,38.2,A403,Gram positive septicemia
ICD10 Certain infectious and parasitic diseases,38.2,A412,Gram positive septicemia
ICD10 Certain infectious and parasitic diseases,38.2,A410,Gram positive septicemia
ICD10 Certain infectious and parasitic diseases,38.2,A227,Gram positive septicemia
ICD10 Certain infectious and parasitic diseases,41,A379,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A369,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A218,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A36,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A219,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A209,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A488,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A208,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A37,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A368,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A370,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A49,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,B47,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A232,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A241,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A499,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A329,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A238,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A228,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A492,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A371,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A203,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,B964,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A20,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,J200,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A439,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A244,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A24,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,B479,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A35,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A493,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A217,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A482,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A327,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A320,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A23,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A233,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A25,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A250,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A429,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A398,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A231,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A159,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A200,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,B968,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A268,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A39,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A230,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A321,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A42,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A240,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A484,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A421,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,B967,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A21,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A391,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A328,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A242,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A229,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,J201,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A480,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A243,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A288,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,B963,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A289,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A22,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A399,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,B966,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A438,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A280,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,B471,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A32,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A483,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,M001,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A43,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A269,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A282,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A26,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A498,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A239,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A267,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A259,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,B965,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A260,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A422,Bacterial infection NOS
ICD10 Certain infectious and parasitic diseases,41,A428,Bacterial infection NOS
ICD10 Diseases of the musculoskeletal system and connective tissue,41.1,B958,Staphylococcus infections
ICD10 Diseases of the musculoskeletal system and connective tissue,41.1,A490,Staphylococcus infections
ICD10 Diseases of the musculoskeletal system and connective tissue,41.1,M000,Staphylococcus infections
ICD10 Diseases of the musculoskeletal system and connective tissue,41.1,B956,Staphylococcus infections
ICD10 Diseases of the musculoskeletal system and connective tissue,41.1,B957,Staphylococcus infections
ICD10 Diseases of the respiratory system,41.2,A401,Streptococcus infection
ICD10 Diseases of the respiratory system,41.2,B950,Streptococcus infection
ICD10 Diseases of the respiratory system,41.2,A491,Streptococcus infection
ICD10 Diseases of the respiratory system,41.2,B951,Streptococcus infection
ICD10 Diseases of the respiratory system,41.2,A38,Streptococcus infection
ICD10 Diseases of the respiratory system,41.2,A402,Streptococcus infection
ICD10 Diseases of the respiratory system,41.2,B952,Streptococcus infection
ICD10 Diseases of the respiratory system,41.2,B955,Streptococcus infection
ICD10 Diseases of the respiratory system,41.2,M002,Streptococcus infection
ICD10 Diseases of the respiratory system,41.2,J030,Streptococcus infection
ICD10 Diseases of the respiratory system,41.2,B954,Streptococcus infection
ICD10 Diseases of the respiratory system,41.2,B953,Streptococcus infection
ICD10 Diseases of the respiratory system,41.2,J202,Streptococcus infection
ICD10 Certain infectious and parasitic diseases,41.4,B962,E. coli
ICD10 Certain infectious and parasitic diseases,53,B029,Herpes zoster
ICD10 Certain infectious and parasitic diseases,53,B02,Herpes zoster
ICD10 Certain infectious and parasitic diseases,53,B028,Herpes zoster
ICD10 Certain infectious and parasitic diseases,53,B027,Herpes zoster
ICD10 Diseases of the nervous system,53.1,G530,Herpes zoster with nervous system complications
ICD10 Diseases of the nervous system,53.1,B022,Herpes zoster with nervous system complications
ICD10 Certain infectious and parasitic diseases,54,B00,Herpes simplex
ICD10 Certain infectious and parasitic diseases,54,B000,Herpes simplex
ICD10 Certain infectious and parasitic diseases,54,A609,Herpes simplex
ICD10 Certain infectious and parasitic diseases,54,A601,Herpes simplex
ICD10 Certain infectious and parasitic diseases,54,B008,Herpes simplex
ICD10 Certain infectious and parasitic diseases,54,A60,Herpes simplex
ICD10 Certain infectious and parasitic diseases,54,B009,Herpes simplex
ICD10 Certain infectious and parasitic diseases,54,B002,Herpes simplex
ICD10 Certain infectious and parasitic diseases,54,B001,Herpes simplex
ICD10 Certain infectious and parasitic diseases,54,A600,Herpes simplex
ICD10 Certain infectious and parasitic diseases,54,B082,Herpes simplex
ICD10 Certain infectious and parasitic diseases,70,B170,Viral hepatitis
ICD10 Certain infectious and parasitic diseases,70,B178,Viral hepatitis
ICD10 Certain infectious and parasitic diseases,70,B199,Viral hepatitis
ICD10 Certain infectious and parasitic diseases,70,B172,Viral hepatitis
ICD10 Certain infectious and parasitic diseases,70,B251,Viral hepatitis
ICD10 Certain infectious and parasitic diseases,70,B188,Viral hepatitis
ICD10 Certain infectious and parasitic diseases,70,B190,Viral hepatitis
ICD10 Certain infectious and parasitic diseases,70,B19,Viral hepatitis
ICD10 Certain infectious and parasitic diseases,70,B18,Viral hepatitis
ICD10 Certain infectious and parasitic diseases,70,B189,Viral hepatitis
ICD10 Certain infectious and parasitic diseases,70.1,B150,Viral hepatitis A
ICD10 Certain infectious and parasitic diseases,70.1,B159,Viral hepatitis A
ICD10 Certain infectious and parasitic diseases,70.2,B160,Viral hepatitis B
ICD10 Certain infectious and parasitic diseases,70.2,B181,Viral hepatitis B
ICD10 Certain infectious and parasitic diseases,70.2,B161,Viral hepatitis B
ICD10 Certain infectious and parasitic diseases,70.2,B169,Viral hepatitis B
ICD10 Certain infectious and parasitic diseases,70.2,B16,Viral hepatitis B
ICD10 Certain infectious and parasitic diseases,70.2,B162,Viral hepatitis B
ICD10 Certain infectious and parasitic diseases,70.2,B180,Viral hepatitis B
ICD10 Certain infectious and parasitic diseases,70.3,B182,Viral hepatitis C
ICD10 Certain infectious and parasitic diseases,70.3,B171,Viral hepatitis C
ICD10 Diseases of the digestive system,70.4,K73,Chronic hepatitis
ICD10 Diseases of the digestive system,70.4,K715,Chronic hepatitis
ICD10 Diseases of the digestive system,70.4,K739,Chronic hepatitis
ICD10 Diseases of the digestive system,70.4,K731,Chronic hepatitis
ICD10 Diseases of the digestive system,70.4,K730,Chronic hepatitis
ICD10 Diseases of the digestive system,70.4,K732,Chronic hepatitis
ICD10 Diseases of the digestive system,70.4,K754,Chronic hepatitis
ICD10 Diseases of the digestive system,70.4,K738,Chronic hepatitis
ICD10 Diseases of the digestive system,70.9,K716,Hepatitis NOS
ICD10 Diseases of the digestive system,70.9,K713,Hepatitis NOS
ICD10 Diseases of the digestive system,70.9,K759,Hepatitis NOS
ICD10 Diseases of the digestive system,70.9,K752,Hepatitis NOS
ICD10 Diseases of the digestive system,70.9,K718,Hepatitis NOS
ICD10 Diseases of the digestive system,70.9,K764,Hepatitis NOS
ICD10 Diseases of the digestive system,70.9,K714,Hepatitis NOS
ICD10 Diseases of the digestive system,70.9,K719,Hepatitis NOS
ICD10 Diseases of the digestive system,70.9,K753,Hepatitis NOS
ICD10 Diseases of the digestive system,70.9,K712,Hepatitis NOS
ICD10 Diseases of the digestive system,70.9,K710,Hepatitis NOS
ICD10 Diseases of the digestive system,70.9,K758,Hepatitis NOS
ICD10 Diseases of the digestive system,70.9,K717,Hepatitis NOS
ICD10 Diseases of the digestive system,70.9,K71,Hepatitis NOS
ICD10 Certain infectious and parasitic diseases,71.1,B204,"HIV infection, symptomatic"
ICD10 Certain infectious and parasitic diseases,71.1,B227,"HIV infection, symptomatic"
ICD10 Certain infectious and parasitic diseases,71.1,B230,"HIV infection, symptomatic"
ICD10 Certain infectious and parasitic diseases,71.1,B222,"HIV infection, symptomatic"
ICD10 Certain infectious and parasitic diseases,71.1,B238,"HIV infection, symptomatic"
ICD10 Certain infectious and parasitic diseases,71.1,B200,"HIV infection, symptomatic"
ICD10 Certain infectious and parasitic diseases,71.1,B232,"HIV infection, symptomatic"
ICD10 Certain infectious and parasitic diseases,71.1,B208,"HIV infection, symptomatic"
ICD10 Certain infectious and parasitic diseases,71.1,B213,"HIV infection, symptomatic"
ICD10 Certain infectious and parasitic diseases,71.1,B203,"HIV infection, symptomatic"
ICD10 Certain infectious and parasitic diseases,71.1,B202,"HIV infection, symptomatic"
ICD10 Certain infectious and parasitic diseases,71.1,B206,"HIV infection, symptomatic"
ICD10 Certain infectious and parasitic diseases,71.1,B201,"HIV infection, symptomatic"
ICD10 Certain infectious and parasitic diseases,71.1,B220,"HIV infection, symptomatic"
ICD10 Certain infectious and parasitic diseases,71.1,B211,"HIV infection, symptomatic"
ICD10 Certain infectious and parasitic diseases,71.1,B24,"HIV infection, symptomatic"
ICD10 Certain infectious and parasitic diseases,71.1,B212,"HIV infection, symptomatic"
ICD10 Certain infectious and parasitic diseases,71.1,B218,"HIV infection, symptomatic"
ICD10 Certain infectious and parasitic diseases,78,A630,Viral warts & HPV
ICD10 Certain infectious and parasitic diseases,78,B07,Viral warts & HPV
ICD10 Certain infectious and parasitic diseases,79,B085,Viral infection
ICD10 Certain infectious and parasitic diseases,79,B970,Viral infection
ICD10 Certain infectious and parasitic diseases,79,B03,Viral infection
ICD10 Certain infectious and parasitic diseases,79,B349,Viral infection
ICD10 Certain infectious and parasitic diseases,79,B202,Viral infection
ICD10 Certain infectious and parasitic diseases,79,B230,Viral infection
ICD10 Certain infectious and parasitic diseases,79,A821,Viral infection
ICD10 Certain infectious and parasitic diseases,79,A881,Viral infection
ICD10 Certain infectious and parasitic diseases,79,A90,Viral infection
ICD10 Certain infectious and parasitic diseases,79,A820,Viral infection
ICD10 Certain infectious and parasitic diseases,79,A929,Viral infection
ICD10 Certain infectious and parasitic diseases,79,A82,Viral infection
ICD10 Certain infectious and parasitic diseases,79,A749,Viral infection
ICD10 Certain infectious and parasitic diseases,79,B088,Viral infection
ICD10 Certain infectious and parasitic diseases,79,A829,Viral infection
ICD10 Certain infectious and parasitic diseases,79,B008,Viral infection
ICD10 Certain infectious and parasitic diseases,79,B083,Viral infection
ICD10 Certain infectious and parasitic diseases,79,B348,Viral infection
ICD10 Certain infectious and parasitic diseases,79,A99,Viral infection
ICD10 Certain infectious and parasitic diseases,79,A91,Viral infection
ICD10 Certain infectious and parasitic diseases,79,B081,Viral infection
ICD10 Certain infectious and parasitic diseases,79,B080,Viral infection
ICD10 Certain infectious and parasitic diseases,79,B06,Viral infection
ICD10 Certain infectious and parasitic diseases,79,B268,Viral infection
ICD10 Certain infectious and parasitic diseases,79,K670,Viral infection
ICD10 Certain infectious and parasitic diseases,79,L444,Viral infection
ICD10 Certain infectious and parasitic diseases,79,B269,Viral infection
ICD10 Certain infectious and parasitic diseases,79,B069,Viral infection
ICD10 Certain infectious and parasitic diseases,79,B333,Viral infection
ICD10 Certain infectious and parasitic diseases,79,B331,Viral infection
ICD10 Certain infectious and parasitic diseases,79,J204,Viral infection
ICD10 Certain infectious and parasitic diseases,79,B330,Viral infection
ICD10 Certain infectious and parasitic diseases,79,B060,Viral infection
ICD10 Certain infectious and parasitic diseases,79,J206,Viral infection
ICD10 Certain infectious and parasitic diseases,79,A951,Viral infection
ICD10 Certain infectious and parasitic diseases,79,A988,Viral infection
ICD10 Certain infectious and parasitic diseases,79,A982,Viral infection
ICD10 Certain infectious and parasitic diseases,79,B344,Viral infection
ICD10 Certain infectious and parasitic diseases,79,B973,Viral infection
ICD10 Certain infectious and parasitic diseases,79,A95,Viral infection
ICD10 Certain infectious and parasitic diseases,79,A928,Viral infection
ICD10 Certain infectious and parasitic diseases,79,A932,Viral infection
ICD10 Certain infectious and parasitic diseases,79,J207,Viral infection
ICD10 Certain infectious and parasitic diseases,79,A983,Viral infection
ICD10 Certain infectious and parasitic diseases,79,B058,Viral infection
ICD10 Certain infectious and parasitic diseases,79,B26,Viral infection
ICD10 Certain infectious and parasitic diseases,79,B259,Viral infection
ICD10 Certain infectious and parasitic diseases,79,A96,Viral infection
ICD10 Certain infectious and parasitic diseases,79,B09,Viral infection
ICD10 Certain infectious and parasitic diseases,79,B068,Viral infection
ICD10 Certain infectious and parasitic diseases,79,B054,Viral infection
ICD10 Certain infectious and parasitic diseases,79,A94,Viral infection
ICD10 Certain infectious and parasitic diseases,79,A985,Viral infection
ICD10 Certain infectious and parasitic diseases,79,B263,Viral infection
ICD10 Certain infectious and parasitic diseases,79,A959,Viral infection
ICD10 Certain infectious and parasitic diseases,79,A938,Viral infection
ICD10 Certain infectious and parasitic diseases,79,A281,Viral infection
ICD10 Certain infectious and parasitic diseases,79,B258,Viral infection
ICD10 Certain infectious and parasitic diseases,79,B252,Viral infection
ICD10 Certain infectious and parasitic diseases,79,B260,Viral infection
ICD10 Certain infectious and parasitic diseases,79,A931,Viral infection
ICD10 Certain infectious and parasitic diseases,79,B084,Viral infection
ICD10 Certain infectious and parasitic diseases,79,B978,Viral infection
ICD10 Certain infectious and parasitic diseases,79,A748,Viral infection
ICD10 Certain infectious and parasitic diseases,79,A74,Viral infection
ICD10 Certain infectious and parasitic diseases,79,J205,Viral infection
ICD10 Certain infectious and parasitic diseases,79,A981,Viral infection
ICD10 Certain infectious and parasitic diseases,79,A984,Viral infection
ICD10 Certain infectious and parasitic diseases,79,B25,Viral infection
ICD10 Certain infectious and parasitic diseases,79,A980,Viral infection
ICD10 Certain infectious and parasitic diseases,79,A930,Viral infection
ICD10 Certain infectious and parasitic diseases,79,B343,Viral infection
ICD10 Certain infectious and parasitic diseases,79,A923,Viral infection
ICD10 Certain infectious and parasitic diseases,79,H812,Viral infection
ICD10 Certain infectious and parasitic diseases,79,A962,Viral infection
ICD10 Certain infectious and parasitic diseases,79,A70,Viral infection
ICD10 Certain infectious and parasitic diseases,79,A950,Viral infection
ICD10 Certain infectious and parasitic diseases,79,B059,Viral infection
ICD10 Certain infectious and parasitic diseases,79,A93,Viral infection
ICD10 Certain infectious and parasitic diseases,79,B977,Viral infection
ICD10 Certain infectious and parasitic diseases,79,J203,Viral infection
ICD10 Certain infectious and parasitic diseases,79,B975,Viral infection
ICD10 Certain infectious and parasitic diseases,79,B340,Viral infection
ICD10 Certain infectious and parasitic diseases,79,A98,Viral infection
